"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8350","Taboo > Logged in Customer > Logout Process","Taboo-project","Thu May 29 12:58:21 UTC 2025","passed","Thu May 29 12:58:30 UTC 2025","Taboo > Login Widget Tests","login/loginTests.spec.js","",""
"","2768","Taboo > Not logged in customer > Fotter > Click on Sweep Policy","Taboo-project","Thu May 29 12:57:45 UTC 2025","passed","Thu May 29 12:57:48 UTC 2025","Taboo > Lobby > Footer Pages Tests","lobby/lobbyTests.spec.js","",""
"","3622","Taboo > Logged In Customer > Change Coins From Secret To Gold Coins","Taboo-project","Thu May 29 12:58:52 UTC 2025","passed","Thu May 29 12:58:56 UTC 2025","Purchase Tests","purchase/purchaseTests.spec.js","",""
"","5778","Taboo > Logged In Customer > Checkout page > Purchase with Coupon Code","Taboo-project","Thu May 29 12:59:10 UTC 2025","passed","Thu May 29 12:59:15 UTC 2025","Purchase Tests","purchase/purchaseTests.spec.js","",""
"","2916","Taboo > Not logged in customer > Fotter > Click on Invite Friends","Taboo-project","Thu May 29 12:57:48 UTC 2025","passed","Thu May 29 12:57:51 UTC 2025","Taboo > Lobby > Footer Pages Tests","lobby/lobbyTests.spec.js","",""
"","7606","Password Field - Missing Special Character Validation","Taboo-project","Thu May 29 12:59:25 UTC 2025","passed","Thu May 29 12:59:32 UTC 2025","Taboo > Register Widget > Validations Tests","register/registerTests.spec.js","",""
"","9327","Taboo > Login Widgets > Customer Login Via Sign In button in Register Widget","Taboo-project","Thu May 29 12:58:12 UTC 2025","passed","Thu May 29 12:58:21 UTC 2025","Taboo > Login Widget Tests","login/loginTests.spec.js","",""
"","4483","Taboo > Contact us > Empty Message Validation","Taboo-project","Thu May 29 12:57:48 UTC 2025","passed","Thu May 29 12:57:53 UTC 2025","Contact Us Tests","contact-us/contact-usTests.spec.js","",""
"","6917","Taboo > Login Widgets > Valid Login Process","Taboo-project","Thu May 29 12:57:56 UTC 2025","passed","Thu May 29 12:58:03 UTC 2025","Taboo > Login Widget Tests","login/loginTests.spec.js","",""
"","4110","Empty Fields Validation","Taboo-project","Thu May 29 12:59:20 UTC 2025","passed","Thu May 29 12:59:24 UTC 2025","Taboo > Register Widget > Validations Tests","register/registerTests.spec.js","",""
"","4894","Taboo > Login Widget > Password Field > Special Char Validation","Taboo-project","Thu May 29 12:58:38 UTC 2025","passed","Thu May 29 12:58:43 UTC 2025","Taboo > Login Widget >  Validations Tests","login/loginTests.spec.js","",""
"","2826","Taboo > Not logged in customer > Fotter > Click on RG","Taboo-project","Thu May 29 12:57:54 UTC 2025","passed","Thu May 29 12:57:56 UTC 2025","Taboo > Lobby > Footer Pages Tests","lobby/lobbyTests.spec.js","",""
"","7233","Password Field - Missing Number Validation","Taboo-project","Thu May 29 12:59:32 UTC 2025","passed","Thu May 29 12:59:39 UTC 2025","Taboo > Register Widget > Validations Tests","register/registerTests.spec.js","",""
"","7615","Duplicate Email Validation","Taboo-project","Thu May 29 12:59:47 UTC 2025","passed","Thu May 29 12:59:55 UTC 2025","Taboo > Register Widget > Validations Tests","register/registerTests.spec.js","",""
"","4632","Taboo > Contact us > Click on X Button to close the Form","Taboo-project","Thu May 29 12:57:53 UTC 2025","passed","Thu May 29 12:57:57 UTC 2025","Contact Us Tests","contact-us/contact-usTests.spec.js","",""
"","4613","Taboo > Logged In Customer > Checkout page > Purchase without Coupon code","Taboo-project","Thu May 29 12:59:15 UTC 2025","passed","Thu May 29 12:59:20 UTC 2025","Purchase Tests","purchase/purchaseTests.spec.js","",""
